,Adlar,Tarihler,Yorumlar,Satıcı,Begenme
28,SH,"01 Ağustos 2021, Pazar",Ürünü sadece müzik dinlemek için aldım. İlk olarak mikrofon kalitesi dış mekan da kötü iç mekanda ise idare eder. Ama aktif gürültü önleyici çok iyi iş yapıyor. Ses kalitesi çok iyi. Uçakta kullandım acil çıkışta olmama rağmen çıt ses duymadım dışarıdan. Sadece müzik dinlemek için kulaklık bakıyorsanız kesinlikle tavsiye ederim.,Hepsiburada,3
29,AÇ,"12 Kasım 2021, Cuma",Sadece anc için aldım ama ses kaliteside oldukça tatmin edici hızlı şarj oluyor ve anc çok iyi bozuk gelirsede dert etmeyin garantisi sağlam ürünü değiştirirler,Hepsiburada,1
30,ÖK,"11 Ekim 2021, Pazartesi",Şarj biraz daha iyi olabilir di,Hepsiburada,1
31,BA,"01 Aralık 2021, Çarşamba","İyi kalitede müzik dinleme amacıyla kullanıma uygun bir set değil, fakat anc fiyatına göre oldukça iyi çalışıyor. Aktif olarak dışarıdayken Podcast/video/lecture dinlemek için oldukça iyi bir kulaklık.
Not:
Bağlantıda bazen sorunlar yaşanabiliyor, sarj kutusunun içindeyken bağlantı kurup kendi kendine sarjını bitirebiliyor.",Hepsiburada,0
32,TA,"07 Ağustos 2022, Pazar",Çok güzel ürün ben hiçbir sorun yaşamadım,Hepsiburada,0
33,AA,"21 Ocak 2022, Cuma",Tek kelimeyle muhteşem,Hepsiburada,0
34,HÇ,"10 Aralık 2021, Cuma","Arkadaşıma aldım çok memnun olduğunu söyledi ,mikrofon performansı olsun,ses performansı/malzeme kalitesi hepsinden olumlu bahsetti",Hepsiburada,0
35,GI,"25 Temmuz 2021, Pazar",Son ses yüksekliği çok tatmin etmeyecektir. Ancak ses kalitesi güzel. Sarj gayet yeterli. Anc fiyatına göre oldukça iyi çalışıyor. Ambiyans modu kullanışlı. Malzeme kalitesi de yeterli,Hepsiburada,2
36,HÇ,"05 Eylül 2021, Pazar","Ürün gayet güzel, 2 aydir kullaniyorum sorun çikarmadi, şarzida iyi gidiyor, tavsiye ederim",Hepsiburada,2
37,YE,"15 Ağustos 2021, Pazar",Görüşme sırasında karşıya çevre gürültüsünü fazlasıyla iletiyor. Ancak diğer tüm özellikleri gayet başarılı.,Hepsiburada,1
38,AK,"15 Eylül 2021, Çarşamba",Ürün gayet iyi fiyatına göre alınabilecek en iyi ürünlerden,Hepsiburada,1
39,AA,"04 Temmuz 2022, Pazartesi",yeterli bir ürün,Hepsiburada,0
40,MP,"12 Ağustos 2021, Perşembe",Ben ürünü beğendim ürünün iki tane eksiği sesi bir tık az ve kulaklığın boyutu birazcık büyük...,Hepsiburada,1
41,NK,"27 Eylül 2022, Salı",Ürün ben aldığım zaman tam bir fiyat performans ürünüydü şuan bile fiyatını hakedecek bi ürün ama sırf ANC özelliği için alacaklar varsa uzak dursun ANC özelliği tamamen yalandan ibaret ANC kapalı iken mikrofonlardan ses alıyor böylece ANC açtığınız zaman aaa bütün sesler gitti diyorsunuz ama normal bi kulak içi kulaklık kadar yalıtım sağlıyo haberiniz olsun,Hepsiburada,0
42,HA,"13 Eylül 2022, Salı",Ürünü bir senedir kullanıyorum. Ürün biraz büyük geldi bana uzun süre kullanımda kulağı ağrıtabiliyor. Ses kalitesi güzel. Gürültü engelleme ve ortam sesini açma özelliği çok güzel. Bu fiyata böyle bir ürün bulmak kolay değil. Ancak son zamanlarda şarj kutusuna koyduğumda temassızlık yapıyor ve şarjı bitiyor.,Hepsiburada,0
43,KY,"18 Ağustos 2021, Çarşamba","Genel olarak sesi iyi ancak bazı görüşmelerde sürekli cızırtı olabiliyor. Ambient mode %80 iyi çalışıyor. Kalan %20 zamanda devreden çıkıyor. Dokunmatikten kapatıp açmak gerekebiliyor. Bu eksilere rağmen fiyatına göre sunduğu özellikler oldukça iyi, almaya değer.",Hepsiburada,0
44,BT,"07 Temmuz 2022, Perşembe",Ürünü beğendim ancak ANC kapalıyken bir uğultu sesi geliyor beni rahatsız etti. Onun haricinde güzel kulaklık.,Hepsiburada,0
45,İP,"06 Kasım 2021, Cumartesi",Ürünün dış görünüşü muazzam. Ses kalitesi de hiç fena değil ama mikrofon için aynı şeyi söyleyemeyeceğim. Telefon görüşmesi yaparken dış sesleri özellikle hareket halindeyken fazlasıyla alıyor. Şarj konusu diğer ilgimi çeken olumsuz özellik. Hiç bahsedildiği kadar gitmiyor anlamış değilim.,Hepsiburada,1
46,MA,"27 Ekim 2021, Çarşamba",Aylardır kullanıyorum gayet kullanışlı bir ürün,Hepsiburada,0
47,CA,"12 Ağustos 2022, Cuma",Fiyata göre sesi güzel ama  ürünün çin malı olduğu da belli. Telefonda konuşması çok sessiz bir ortamda mümkün. Ambiyans modu bi işe yaramıyor,Hepsiburada,0
48,MB,"25 Şubat 2022, Cuma",Yani ses biraz daha yüksek olabilirdi mikrofonu çok iyi fakat rüzgarlı havalarda kullanmanızı tavsiye etmem dışarıdaki sesinoldugu gibi karşı tarafa gönderiyor ve siz konuşurken konustugunuz karşı taraftan anlaşılmıyor ama kapalı alanda gayet basarili,Hepsiburada,1
49,CK,"13 Ocak 2022, Perşembe","2 aydan fazladır kullanıyorum. Memnun olmadığım şeyleri yazacağım öncelikle : kutusundayken kendini dışarıda sanıyor, oysa ki kutusunda. Bu sebeple şarjı kendi kendine bitiyor. Ben şarjı var sanarken, aslında bitmiş olarak buluyorum. Diğeri ise tek kulaklığı çıkarınca dinlediğiniz ses duraksamıyor. İkisini birden çıkarmanız gerekiyor. Dokunmaları kolaylıkla algılamıyor. Memnun kaldığım özellikleri ise dış sesi kesmesi başarılı. Telefon görüşmelerinde normal telefonla konuşur kalitede. Benim kulaklarım küçük, en küçük silikonla kullanıyorum. Ancak bi süre sonra kulaklarımda acı hissediyorum. Kulak içi kullanmamışsanız bunu da düşünün derim.",Hepsiburada,2
50,FA,"07 Ağustos 2021, Cumartesi",Üründe ANC mod kapalıyken ve ambiyans mod açıkken cızırtı sesleri geliyor.,Hepsiburada,2
51,ES,"15 Haziran 2021, Salı","Müzik performansı fiyat bazındaki rakiplerine göre başarılı fakat yüksek volumlerde kalite düşüyor daha tiz duymaya başlıyosunuz. Mikrofon kalitesi sessiz ortamlarda telefon görüşmesi yapmak için yeterli fakat gürültülü alanlarda kalite bi seviye düşüyor, şarjı vaadettiği süreleri neredeyse yakalıyor, malzeme kalitesi fiyatı göz önüne alındığında başarılı, tüm bunlara rağmen üründe belirli problemler var anc etkisi yok denecek kadar az ve en önemlisi ambiance (transparan) modunda ürünün tüm kalitesi düşüyor. Dinlenilen müzikde ses hacmi ve ses temizliği anlamında ciddi kayıplar yaşanıyor. Ayrıca tek kulaklık olarak kullanmak isterseniz ambiance modu hep aktif kalıyor kullanıcıya bir opsiyon sunulmamış. Bağlantı mesafesi gayet iyi, dokunmatik hassasiyeti orta seviyede bazen algılamıyor. Kaliteli ve nispeten yüksek sesle müzik dinlemek için tercih edilebilir fakat öncelik telefon görüşmesiyse ayni fiyat bandına cok daha başarılı modeller mevcut. Anc ve ambiance gibi ek özellikleri tercih sebebinizse kesinlikle değmez. Her iki modun da verimli çalışmadığı çok açık.",Hepsiburada,5
52,FA,"17 Eylül 2021, Cuma",Baslarda sorun var.Cızırtı yapıyor mikrofonu,Hepsiburada,1
53,ŞY,"16 Eylül 2022, Cuma","Malzeme kalitesi pek iyi değil, kulaklık üzerindeki dokunmatik tuşları kullanmak epey zor, şarjı noise cancelling açıkken söylenenden çabuk bitiyor.

Noise cancelling kalitesi iyi. Ses kalitesi iyi.",Hepsiburada,0
54,SC,"11 Mayıs 2021, Salı","Ürünü genellikle telefon görüşmelerini yapabilmek adına  yorumlara bakarak aldım ama pişman oldum.
Kulakligin ses kalitesi gayet iyi, pil performansı gayet iyi, dış sesi engelleme özelliği iyi. Ancak mikrofonu berbat. 
Sokakta yürürken telefon görüşmesi yapmak imkansız. Dış sesleri karşı tarafa aşırı derecede çok iletiyor. 
Bu yüzden iade edeceğim.",Hepsiburada,6
55,Yİ,"03 Ekim 2021, Pazar",Hayatımda gördüğüm en kötü dokunmatik özelliğe sahip olmasının dışında idare eder bir ürün. Bir de ara ara kulaklıklardan birisinin bağlantısı gidiyor. Mecburen kutuya koyup tekrar senkronize etmek gerekiyor.,Hepsiburada,0
56,AC,"19 Ekim 2021, Salı","Ürün güzel malzeme kalitesi olması gerektiği gibi, kablosu sağlam kopması çok zor ses kalitesi de gayet güzel.",Hepsiburada,0
57,BA,"18 Nisan 2022, Pazartesi","Ürüntelefonla konuşurken sesimiz haric ortamdaki diger sesleri cok fazla karşı tarafa aktarıyor. Kutu kapalıyken telefona bağlandığı oluyor, bu da kendi kendine şarj bitmesine yol açıyor. Bunların dışında konforlu yormayan bir cihaz.",Hepsiburada,1
58,AK,"19 Eylül 2021, Pazar","Şekil olarak: bu tarz kulaklıklara alışık değilse diğer modellere bakın bence çünkü korkarak aldım korktuğum başıma geldi kulağımda durmuyor silikonu falan değiştirdim birinde büyük birinde küçük takılı siz düşünün.

Mikrofonu: açık alanda otobüste vs yoğun bi caddede yürürken denemeyin bile karşı taraf yüzünüze kapatır ama sessiz ortamda boş bi sokakta telefondan farksız gecikme falanda yaşamadım hiç 

Şarjı : vadettiği sürenin yarısını düşünün. üstünde devamlı led yandığı içinde bitiyor bence durup dururken azalıyor.

Ses kalitesi: gerçekten mükemmel ben ses kalitesini inanılmaz beğendim dış sesi mükemmel zaten silikonlu yapıda olduğu için ekstra kesiyor anc de güzel çalışıyor 

Dokunmatik idare eder biraz sert davranmal lazım",Hepsiburada,3
59,ÖG,"01 Aralık 2021, Çarşamba","Ambians mod anf ve a geçişler biraz zor. Anf gürültü önleyici çok güzel fakat kullanan için karşı tarafa dışarda rüzgâr var ise ses gürültülü gidiyor. Hayal kırıklığı oldu. Tek kulak kulaklık aktif olmuyor. Çıkarmadan kutudan bağlantı kurmuyor. Video, müzik, ses dosyası dinlemek için güzel. Kablosuz kulaklık misali. Telefon görüşmesi sık yapıyor iseniz tavsiye etmem. Birde bana jelatini açık uzun süre beklemiş teşirdeki ürün gelmiş muhtemel . Kulaklık üstündeki yapışkanlar erimişti. Zor çıktı.",Hepsiburada,0
60,AG,"22 Eylül 2021, Çarşamba","Ses seviyesi beklediğimizden düşük. Malzeme yüzeyi çok kaygan, elinizden kolayca kayıp düşebilir.
Ambiyans moduna geçiş tam belli olmuyor. Kalitesine göre fiyatı yüksek.",Hepsiburada,0
61,ST,"29 Haziran 2022, Çarşamba",Urun iyi  ama ses seviyesi biraz dusuk  guruntulu ortamlarda muzik dinlemede sorun yok ama konusma yaparken dis sesi karsiya  verio malasef,Hepsiburada,0
62,YG,"10 Kasım 2022, Perşembe",Çok güzel kullanışlı,Hepsiburada,0
63,SB,"15 Aralık 2021, Çarşamba","Aldigimdan beri (2 ay olmustur)nereden aldim ben bunu dedirten bir urun.
Bu markanin lambalarini kullaniyorum. Ona guvenerek almistim. Surekli bir sarj problemi. Dolu olmasi gerekirken hep sarji kendiliginden bosalmis oluyor ve ne zaman isim dusse kullanamıyorum. Kutuda 4 ful sarj gosteriyor ama kendi sarj olmuyor. Mikrofonu konusu ise, her konustugum kisi sesimin kesildigini belirtiyor. Almayin kisacasi.",Hepsiburada,1
64,HD,"27 Mayıs 2022, Cuma",Aktif gürültü engelleyicisi tek tarafı kullanırken kapanmamaktadır,Hepsiburada,0
65,KÇ,"19 Mart 2022, Cumartesi",İyi sorunsuz tesekurler,Hepsiburada,1
66,SB,"06 Eylül 2021, Pazartesi",Gayet güzel kask içi kullanım almıştım ama biraz büyük geldi takıp çıkarırken sorun yaratıyor. Kask içi için alacaklar birdaha düşünsün fakat ses konusunda mükemmel.,Hepsiburada,1
67,AK,"22 Kasım 2022, Salı",Evet ürün ilk arızalandı servise gitti değişim raporu ile yenisi geldi bu 3.kez oluyor şimdi 3.kez yeni cihazı bekliyorum ürün satışta yok gelecek diyorlar soruna gelince kulaklıklar dan biri ne şarj oluyor ne bağlanıyor zannedersem kronik bir sorunu var,Hepsiburada,0
68,MD,"26 Aralık 2021, Pazar","--Şarj süresi 300mah işte sürekli dinliyorsanız işyerinde   5.5 saati zor görür.
--Malzeme kalitesi vasat, o kadar para veriyorsun sana gelen ürün basit plastikten oluşuyor.. düşse kırılacak cinsten ki elimden düşüp kapağın kenarı kırıldı da.
--Ses kalitesi Eh işte Bass ve tizler iyi diyelim iyi olsun 350-400 para etmez...
-- Dört mikrofonlu diyor ama mikrofon kalitesi  en kötüsü bazen diyorum bu dört adet nerede diye çünkü görüşme yaparken bu mikrofonlar kendini gösteremiyor.. başarısız... 
-- Gürültü engelleme özelliği vasat.. dört mikrofon berbat... var mı o daha belli değil. 

her şeye rağmen sadece müzik dinlemek isterseniz. 10 paralık kulaklık alın...",Hepsiburada,2
69,YY,"26 Mayıs 2022, Perşembe",İdare eder,Hepsiburada,0
70,EA,"16 Eylül 2022, Cuma",Cizirti var bi zaman sonra da sarj oldugu kisimda temassizlik olup kendi kendine sarji bitiriyor,Hepsiburada,0
71,TK,"15 Ekim 2022, Cumartesi",Ses gitmiyor doğru düzgün ve şarjı çok az gidiyor,Hepsiburada,0
72,TT,"23 Aralık 2022, Cuma",Bluetooth problemi var,OVY,0
73,ÖŞ,"19 Mart 2021, Cuma","Ürünü kullanmadan iade ettim parasının hakkını verdiğini düşünmüyorum. 
Kısa sürede olsa gözlemlerim şöyle
+Kutusu ve kulaklık malzeme olarak oldukça kaliteli duruyorlar. Kaliteli plastik kullanılmış
+Kulak içine çok güzel oturuyor. Döndürerek soktuğunuz için sporda vb. kulağınızdan düşmez.
+Ambiyans modu fena değil gerçekten bir fark hissediyorsunuz.
+32 saat gerçekten uzun ve güzel bir süre.
+Telefon bağlantısı çok kısa sürede sorunsuz yapıldı.
Negatif yönler
-ANC modu kesinlikle iş yapmıyor. Taksalar kulağınıza açık mı değil mi diye sorsalar bilemezsiniz o derece.
-ANC açık değilken kulaklıkta herhangi bir müzik çalmıyorken arkada gürültü var gerçekten rahatsız edici.
-Kulaklığın üzerine tıklayarak çalıştırdığınız fonksiyonlar 2 3 seferden birinde işe yarıyor yani ANC açmak için 2 kere tıklayın diyorsa 5 6 tıklamada açabiliyorsunuz.
-Ses kalitesi güzel ve kesinlikle üzmez ama bu fiyat bandına göre yetersiz bence.
-Ürün paketinde özel bir bandrol yok. Yani sizden önce başkası açıp bakmış mı bilemezsiniz.

Kısacası benim fikrim almadıysanız almamanız yönünde ama halihazırda aldıysanız ve iade opsiyonunuz yoksa çok büyük kayıp değil. Ben iade edip yine Hepsiburada üzerinden başka bir kulaklık tercih ettim daha memnunum.",Hepsiburada,10
74,SD,"14 Mart 2021, Pazar","hepsiburadaya hızlı gönderisi için teşekkürler.
anc özelliği benim görüşümce işe yaramıyor. açmayınca mikrofon üzerindeki sesleri ve cızırtıları sürücüler tarafından içeri veriyor.  anc açmadan hiç kullanamazsınız. ambiyans modu sevdim güzel çalışıyor. ambiyans mod müzik ile bir arada çalışmıyor. Sese gelecek olursak bence güzel değil. soundliberty 79 modelin sesi daha iyi benim daha hoşuma gitmişti.",Hepsiburada,6
75,ÖÖ,"13 Ekim 2021, Çarşamba","Ürünün saymakla bitmeyecek kadar sorunu var. İkinci defa servise göndereceğim. Ürün değiştirilip yenisi gönderildi. Sorunlar devam ediyor. Uğultu, bağlantı kopması, ses azlığı ne ararsanız var. Uzak durmanızı tavsiye ederim. Aldım ama kullanamadım maalesef. Yine servise göndereceğim.",Hepsiburada,2
76,ŞK,"16 Ocak 2022, Pazar",Özellikle aktif gürültü önleyici var diye aldım. Bisiklet sürerken hiç bir şekilde kullanamıyorum. Ne görüşme nede müzik dinleyemiyorum. En ufak rüzgarı sanki fırtına gibi veriyor. Aldığım en kötü ürün. Çok pişmanım. Çöp oldu. Evde arada müzik dinlerken kullanıyor çocuk.,Hepsiburada,0
77,MK,"22 Nisan 2022, Cuma",Cok kotü karsiya ses gitmiyor muzik dinliyecekseniz alin,Hepsiburada,0
78,MS,"20 Mart 2021, Cumartesi",Teslimat süresi ve paketleme kaliteliydi. Ancak ürün için aynısını söyleyemem. Önceki modellerden 79 kullandım 94e göre daha ucuz olmasına rağmem ses performansı çok çok ötede ve kulaktan düşme sorunu yoktu. Ayrıca benim önem verdiğim durumlardan biri sesi dışarı verio vermemesi müzik dinlerken. İnanılmaz derecede 94 sesi dışarı veriyor 79da bu sorunu yaşamadım. Hakkını yemeyeceğim tek bir güzel özelliği çok net konuşma sesi var. Ama kurunun yanında yaşta yanıyor.,Hepsiburada,7
79,KH,"24 Nisan 2022, Pazar",Dip ses var.,Hepsiburada,0
80,KH,"24 Nisan 2022, Pazar",Dip ses var.,Hepsiburada,0
81,BG,"24 Ağustos 2021, Salı","Aldım ve ilk kullanımdan itibaren bağlantı kopmaya,kulaklığı kutusuna koyduğumda kapanmama gibi sorunlar yaşadım bir daha bu markaya yaklaşmam",Hepsiburada,1
82,AG,"27 Eylül 2021, Pazartesi",Şarjı çok hızlı bitiyor. Fabrika verilerinin çok altında. Hiç memnun kalmadım.,Hepsiburada,0
83,AI,"28 Ağustos 2021, Cumartesi","79 daha iyi,  beğenmedim",Hepsiburada,0
84,AY,"16 Mart 2021, Salı",Biraz büyük,Hepsiburada,0
85,YB,"16 Ekim 2022, Pazar",,Hepsiburada,
86,TH,"27 Nisan 2022, Çarşamba",,Hepsiburada,
87,PH,"12 Haziran 2022, Pazar",,Hepsiburada,
88,Eİ,"18 Nisan 2022, Pazartesi",,Hepsiburada,
89,OK,"24 Mart 2022, Perşembe",,Hepsiburada,
